Wedding	fan1lai5.mp3	婚禮	fan1 lai5	fān láih
Bouquet	faa1cuk1.mp3	花束	faa1 cuk1	fā chūk
Bride	san1noeng4.mp3	新娘	san1 noeng4	sān nèuhng
Groom	san1long4.mp3	新郎	san1 long4	sān lòhng
Congratulations!	gung1hei2.mp3	恭喜	gung1 hei2	gūng héi
Please drink tea	ceng2hot3caa4.mp3	請喝茶	ceng2 hot3 caa4	chéng hot chàh
Toast	gon1bui1.mp3	乾杯	gon1 bui1	gōn būi
Son-in-law	neoi5sai3.mp3	女婿	neoi5 sai3	néuih sai
Father-in-law (husband’s father)	lou5je4.mp3	老爺	lou5 je4	lou5 je4	lóuh yèh/yé
Mother-in-law (husband’s mother)	naai4naai2.mp3	奶奶	naai4 naai2	náaih nāai
Father-in-law (wife’s father)	ngoi6fu2.mp3	外父	ngoi6 fu2	ngoih fú
Mother-in-law (wife’s mother)	ngoi6mou2.mp3	外母	ngoi6 mou2	ngoih móu